STN---;YEARMODA;TEMP;DEWP;VISIB;;WDSP;;MXSPD;GUST;MAX;MIN;PRCP;SNDP;FRSHTT
85360;19900806;78,5;62,3;5,3;24;9,5;24;15,9;28;93.2*;68.0*;0.00I;999,9;0
85360;19900807;76,7;62;6,2;24;13,8;24;20;28,9;89.6*;68.0*;0.00I;999,9;0
85360;19900808;76;55,5;6,2;13;7;13;15;999,9;86.0*;69.8*;0.00I;999,9;0
85360;19900816;72,1;58,1;6,2;4;11,8;4;19;999,9;80.6*;68.0*;0.00I;999,9;0
85360;19900817;75,1;59,1;6,2;24;8,4;24;15,9;999,9;89.6*;64.4*;0.00I;999,9;0
85360;19900818;79,1;58,6;6,3;24;4,7;24;14;999,9;96.8*;66.2*;0.00I;999,9;0
85360;19900819;75;61,9;5,8;24;5,8;24;15;999,9;84.2*;68.0*;0.00I;999,9;0
85360;19900820;71,1;65,6;6,4;23;5,2;23;9,9;999,9;75.2*;68.0*;0.00I;999,9;0
85360;19900821;72;64,8;5,6;24;4;24;13;27;84.2*;66.2*;99,99;999,9;10010
85360;19900822;73,4;65;5,4;24;3,5;24;11,1;999,9;82.4*;64.4*;0.00I;999,9;0
85360;19900823;72,8;66,3;5,2;24;5,6;24;9,9;999,9;80.6*;68.0*;0.00I;999,9;0
85360;19900824;73,2;65,4;5,7;24;4,6;24;12;26;82.4*;68.0*;0.00I;999,9;0
85360;19900825;72,4;64,3;5,4;23;7,3;23;18,1;19;84.2*;66.2*;0.00I;999,9;0
85360;19900826;74;62,4;5,9;24;7,7;24;18,1;999,9;89.6*;62.6*;0.00I;999,9;0
85360;19900827;75,1;60,9;6,2;24;4,3;24;9,9;999,9;89.6*;64.4*;0.00I;999,9;0
85360;19900828;73,5;61,1;6,1;24;9;24;20;33;82.4*;66.2*;0.00I;999,9;0
85360;19900829;73,4;66,1;7;24;7,4;24;13;17,1;82.4*;66.2*;99,99;999,9;10000
85360;19900830;69,6;56,4;6,4;24;12,9;24;22,9;33;78.8*;64.4*;0.00I;999,9;0
85360;19900831;71,1;55,7;6,2;23;14,7;23;22;32,1;84.2*;62.6*;0.00I;999,9;0
85360;19900901;71,5;58,2;6,3;24;9,9;24;20;29,9;84.2*;62.6*;0.00I;999,9;0
85360;19900902;72,4;63,4;6,6;24;9,2;24;18,1;19;82.4*;66.2*;0.00I;999,9;0
85360;19900903;70,8;61,5;6,3;24;8,2;24;15;999,9;82.4*;62.6*;0.00I;999,9;0
85360;19900904;73,7;61,9;6,2;22;7,2;22;14;999,9;89.6*;64.4*;0.00I;999,9;0
85360;19900905;72,7;61,7;6,1;24;6,6;24;13;999,9;87.8*;64.4*;0.00I;999,9;0
